,Source,State,Date,Sample,Biden,Trump,Other,p_hat,sample_sd,Delegates,538 Grade,Mean-Reverted Bias,Bias,Bias_Party,Bias_Numeric,Grade_Bin,Bias_Adjustment
0,Auburn U. Montgomery,Alabama,2020-10-29,853.0,0.405,0.595,0.03,0.405,0.016807823500749774,9,,,,,0.0,,0.0
1,Auburn U. Montgomery,Alabama,2020-10-05,1072.0,0.4,0.6,0.06,0.4,0.014962640041614494,9,,,,,0.0,,0.0
2,Axios / SurveyMonkey,Alabama,2020-10-01,1354.0,0.4,0.6,0.02,0.4,0.013313624034556867,9,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
3,Morning Consult,Alabama,2020-08-04,609.0,0.39,0.61,0.06,0.39,0.019764624815277167,9,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
4,AUM Poll,Alabama,2020-07-10,567.0,0.43,0.5700000000000001,0.04,0.43,0.02079122729121906,9,,,,,0.0,,0.0
5,Mason-Dixon,Alabama,2020-02-11,625.0,0.4,0.6,0.04,0.4,0.019595917942265426,9,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
6,WPA Intelligence,Alabama,2020-01-28,500.0,0.395,0.605,0.03,0.395,0.021862067605786968,9,B/C,R +0.7,R +2.1,R,0.021,2.0,0.021
7,Gravis Marketing,Alaska,2020-10-29,770.0,0.455,0.545,0.05,0.455,0.017945624941624477,3,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
8,Public Policy,Alaska,2020-10-21,800.0,0.47500000000000003,0.525,0.05,0.47500000000000003,0.017655558614781918,3,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
9,NY Times / Siena College,Alaska,2020-10-16,423.0,0.47000000000000003,0.53,0.16,0.47000000000000003,0.024267032964268395,3,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
10,Alaska Survey Research,Alaska,2020-10-06,676.0,0.48000000000000004,0.52,0.04,0.48000000000000004,0.019215378456610456,3,B/C,D +1.8,D +7.1,D,0.071,2.0,-0.071
11,Axios / SurveyMonkey,Alaska,2020-10-01,563.0,0.46,0.54,0.02,0.46,0.021004947399965345,3,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
12,Public Policy,Alaska,2020-07-28,885.0,0.47,0.53,0.06,0.47,0.016777035690302155,3,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
13,Alaska Survey Research,Alaska,2020-07-17,663.0,0.495,0.505,0.03,0.495,0.019417419990694504,3,B/C,D +1.8,D +7.1,D,0.071,2.0,-0.071
14,Public Policy,Alaska,2020-07-09,1081.0,0.485,0.515,0.07,0.485,0.015200631711883985,3,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
15,Emerson College,Arizona,2020-11-01,732.0,0.51,0.49,0.06,0.51,0.018476835297824973,11,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
16,NY Times / Siena College,Arizona,2020-11-01,1252.0,0.53,0.47,0.08,0.53,0.014105377036501117,11,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
17,Y2 Analytics,Arizona,2020-10-31,700.0,0.515,0.485,0.03,0.515,0.018889717535511975,11,B/C,D +0.4,D +3.3,D,0.033,2.0,-0.033
18,CNN/SSRS,Arizona,2020-10-31,865.0,0.52,0.48000000000000004,0.04,0.52,0.01698690417041309,11,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
19,Trafalgar Group,Arizona,2020-10-30,1002.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.01578849096987386,11,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
20,Rasmussen Reports,Arizona,2020-10-29,800.0,0.485,0.515,0.07,0.485,0.01766971278770541,11,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
21,Ipsos/Reuters,Arizona,2020-10-28,714.0,0.51,0.49,0.06,0.51,0.01870828693386971,11,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
22,Gravis Marketing,Arizona,2020-10-28,704.0,0.52,0.48,0.08,0.52,0.018829377433825435,11,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
23,OH Predictive Insights,Arizona,2020-10-27,716.0,0.515,0.48500000000000004,0.05,0.515,0.018677466781208005,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
24,Susquehanna,Arizona,2020-10-23,500.0,0.5,0.5,0.08,0.5,0.022360679774997897,11,C,D +0.9,D +1.7,D,0.017,3.0,-0.017
25,Morning Consult,Arizona,2020-10-22,1066.0,0.495,0.505,0.05,0.495,0.015313331571783852,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
26,Ipsos/Reuters,Arizona,2020-10-21,658.0,0.515,0.48500000000000004,0.05,0.515,0.019483256001954344,11,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
27,Rasmussen Reports,Arizona,2020-10-21,800.0,0.51,0.49,0.06,0.51,0.017674133642133636,11,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
