Pollster,Source,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,,# of Polls for Bias Analysis,Bias,House Effect,,Average Distance from Polling Average (ADPA),Herding Penalty,Latest Poll
1,Monmouth University,215,108,yes,yes,Live,no,,-1.6,A+,D +1.3,,81%,21%,5.4,6.7,-1.2,,-2,-1.6,,71,D +1.8,R +0.4,,5.2,0.2,3/13/2020
2,Selzer & Company,304,48,yes,yes,Live,no,,-1.3,A+,D +0.1,,79%,25%,4.6,6.1,-1.3,,-1.8,-1.1,,31,D +0.2,D +0.2,,5.2,0,11/1/2018
3,ABC News / Wash. Post,3,73,yes,yes,Live,no,,-1.3,A+,D +0.5,,72%,7%,2.8,4.8,-1.7,,-1.7,-1.2,,68,D +0.8,D +1.3,,3.8,0.12,10/31/2018
4,NY Times / Siena College,448,59,yes,yes,Live,no,,-1.1,A+,R +0.3,,69%,10%,3.9,5.7,-1.6,,-1.5,-1.1,,58,R +0.4,D +0.4,,4.4,0.19,1/22/2020
5,Field Research Corp. (Field Poll),94,25,yes,yes,Live,no,,-1.1,A/B,R +0.7,,100%,16%,3.9,5.6,-1.5,,-2,-0.7,,18,R +2.5,D +0.6,,4.7,0.01,5/29/2016
6,Marquette Law,195,12,yes,yes,Live,no,,-1,A/B,D +0.2,,79%,8%,2.8,5.9,-2.9,,-2.8,-0.9,,8,D +1.0,R +0.3,,4.9,0,3/27/2020
7,Morning Call / Muhlenberg,219,29,yes,yes,Live,no,,-1,A+,R +0.2,,84%,7%,3.4,6,-2.4,,-2.3,-1.1,,28,R +0.3,D +0.2,,3.9,0.97,10/30/2018
8,NBC News/Marist ,183,183,yes,yes,Live,no,,-1,A+,R +0.3,,84%,25%,5.4,6.5,-0.8,,-1,-0.9,,113,R +0.4,R +0.2,,5.2,0,3/13/2020
9,Data Orbital,73,9,yes,yes,Live,no,,-0.9,A/B,D +0.3,,94%,0%,2.3,5.3,-2.8,,-2.4,-0.7,,9,D +1.2,R +1.1,,3.7,0.65,10/17/2018
10,National Journal,224,12,yes,yes,Live,no,,-0.8,A/B,R +0.1,,100%,0%,2.6,6.1,-3.4,,-3.2,-0.7,,12,R +0.6,D +0.3,,3.5,0.89,10/25/2008
